Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO BRADESCO BERJ S.A.;33147315;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;06/2020;54;157.175;16.697.175;0;0;0;0;0;0;0;0;2.299.649;506;360.609;19.515.167;0;19.515.167
CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;7450604;CCB;32119;80295;b1;3;8;SAO PAULO;SP;06/2020;75.077;2.766.080;5.064.670;5.865.008;-216.889;5.648.119;0;0;0;0;0;4.201.252;206.574;1.515.558;19.477.330;0;19.477.330
NU PAGAMENTOS S.A.;18236120;;;84693;n4;2;41;SAO PAULO;SP;06/2020;122.682;1.867.669;4.644.784;0;0;0;0;0;0;0;0;12.253.034;68.486;325.697;19.282.351;0;19.282.351
BRB - BANCO DE BRASILIA S.A.;208;BRB;31976;80288;b1;1;8;BRASILIA;DF;06/2020;232.793;1.598.784;3.483.743;10.991.622;-312.634;10.678.988;0;0;0;0;0;1.471.316;883.422;894.797;19.243.843;0;19.243.843
BANCO ALFA DE INVESTIMENTO S.A.;60770336;ALFA;51293;80570;b2;2;13;SAO PAULO;SP;06/2020;2.724;9.314.987;3.604.935;1.524.733;-18.985;1.505.748;0;0;0;0;0;1.303.465;183.335;939.026;16.854.220;0;16.854.220
PAGSEGURO INTERNET S.A.;8561701;;;84813;n4;2;41;SAO PAULO;SP;06/2020;91.507;120.008;1.060.935;0;0;0;0;0;0;0;0;1.135.935;9.645.623;4.618.123;16.672.131;0;16.672.131
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;;;81311;b4;1;5;PORTO ALEGRE;RS;06/2020;522;0;2.923.923;13.434.239;-369.920;13.064.319;0;0;0;0;0;489.909;63.941;52.809;16.595.423;0;16.595.423
BANCO OLÉ CONSIGNADO S.A.;71371686;SANTANDER;30379;80185;b2;3;8;SAO PAULO;SP;06/2020;4.811;4.000;32.365;15.508.945;-528.663;14.980.282;0;0;0;0;0;480.259;163.615;61.478;15.726.810;0;15.726.810
BANCO ORIGINAL S.A.;92894922;ORIGINAL;51781;80903;b1;2;8;SAO PAULO;SP;06/2020;41.951;585.531;4.802.505;4.991.774;-296.474;4.695.300;0;0;0;0;0;2.962.007;423.326;1.008.680;14.519.300;0;14.519.300
HIPERCARD BANCO MÚLTIPLO S.A.;3012230;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;06/2020;2.054;2.813.837;2.248.988;2.363.922;-1.343.027;1.020.895;0;0;0;0;0;8.194.126;76.056;148.141;14.504.097;0;14.504.097
